version,source_file_count,source_files
V0_5_0,1,PATCH_SUMMARY_V0_5_0.md
V0_5_1,2,PATCH_SUMMARY_V0_5_2.md;PATCH_SUMMARY_V0_5_3.md
V0_5_2,2,PATCH_SUMMARY_V0_5_2.md;PATCH_SUMMARY_V0_5_3.md
V0_5_3,1,PATCH_SUMMARY_V0_5_4.md
V0_5_4,2,PATCH_SUMMARY_V0_5_3.md;PATCH_SUMMARY_V0_5_4.md
V0_5_5,3,PATCH_SUMMARY_V0_5_5.md;PATCH_SUMMARY_V0_5_6.md;PATCH_SUMMARY_V0_5_7.md
V0_5_6,3,PATCH_SUMMARY_V0_5_6.md;PATCH_SUMMARY_V0_5_7.md;PATCH_SUMMARY_V0_5_9.md
V0_5_7,1,PATCH_SUMMARY_V0_5_7.md
V0_5_8,1,PATCH_SUMMARY_V0_5_9.md
V0_5_9,1,PATCH_SUMMARY_V0_5_9.md
V0_6,1,PATCH_SUMMARY_V0_6_2.md
V0_6_0,1,PATCH_SUMMARY_V0_6_0.md
V0_6_1,1,PATCH_SUMMARY_V0_6_2.md
V0_6_2,1,PATCH_SUMMARY_V0_6_2.md
V0_6_3,2,PATCH_SUMMARY_V0_6_3.md;PATCH_SUMMARY_V0_6_4.md
V0_6_4,1,PATCH_SUMMARY_V0_6_4.md
V0_6_5_1,1,PATCH_SUMMARY_V0_6_6.md
V0_6_6,2,PATCH_SUMMARY_V0_6_5_1.md;PATCH_SUMMARY_V0_6_7.md
V0_6_6_1,1,PATCH_SUMMARY_V0_6_5.md
V0_6_7,2,PATCH_SUMMARY_V0_6_6.md;PATCH_SUMMARY_V0_6_7.md
V0_7_0,1,PATCH_SUMMARY_V0_7_1.md
V0_7_1,2,PATCH_SUMMARY_V0_7_1.md;PATCH_SUMMARY_V0_7_2.md
V0_7_2,1,PATCH_SUMMARY_V0_7_2.md
V0_7_3,1,PATCH_SUMMARY_V0_7_3.md
V0_7_4,2,PATCH_SUMMARY_V0_7_4.md;PATCH_SUMMARY_V0_7_5.md
V0_7_5,1,PATCH_SUMMARY_V0_7_5.md
V0_7_6,1,PATCH_SUMMARY_V0_7_6.md
V0_7_7,1,PATCH_SUMMARY_V0_7_7.md
V0_7_8,1,PATCH_SUMMARY_V0_7_8.md
V0_7_10,1,PATCH_SUMMARY_V0_7_10.md
V0_7_11,1,PATCH_SUMMARY_V0_7_11.md
V0_7_12,2,PATCH_SUMMARY_V0_7_12.md;PATCH_SUMMARY_V0_7_13.md
V0_7_13,1,PATCH_SUMMARY_V0_7_13.md
V0_7_15,2,PATCH_SUMMARY_V0_7_15.md;PATCH_SUMMARY_V0_7_15_5.md
V0_7_15_1,1,PATCH_SUMMARY_V0_7_15_1.md
V0_7_15_2,2,PATCH_SUMMARY_V0_7_15_2.md;PATCH_SUMMARY_V0_7_15_5.md
V0_7_15_3,1,PATCH_SUMMARY_V0_7_15_5.md
V0_7_15_4,1,PATCH_SUMMARY_V0_7_15_5.md
V0_7_15_5,1,PATCH_SUMMARY_V0_7_15_5.md
V0_7_15_7,1,PATCH_SUMMARY_V0_7_16.md
V0_7_16,1,PATCH_SUMMARY_V0_7_17.md
V0_7_17,2,PATCH_SUMMARY_V0_7_16.md;PATCH_SUMMARY_V0_7_17.md
V0_7_18,1,PATCH_SUMMARY_V0_7_19.md
V0_7_19,1,PATCH_SUMMARY_V0_7_19.md
V0_7_20,2,PATCH_SUMMARY_V0_7_20.md;PATCH_SUMMARY_V0_7_22.md
V0_7_22,2,PATCH_SUMMARY_V0_7_22.md;PATCH_SUMMARY_V0_7_23.md
V0_7_23,2,PATCH_SUMMARY_V0_7_23.md;PATCH_SUMMARY_V0_7_23_5.md
V0_7_23_1,1,PATCH_SUMMARY_V0_7_23_2.md
V0_7_23_2,2,PATCH_SUMMARY_V0_7_23_2.md;PATCH_SUMMARY_V0_7_23_3.md
V0_7_23_3,1,PATCH_SUMMARY_V0_7_23_3.md
V0_7_23_4,1,PATCH_SUMMARY_V0_7_23_5.md
V0_7_23_5,1,PATCH_SUMMARY_V0_7_23_5.md
V0_7_23_6,1,PATCH_SUMMARY_V0_7_24.md
V0_7_24,1,PATCH_SUMMARY_V0_7_24.md
