filename,bytes,sha256,detected_versions
CONSOLIDATED_USER_MANUAL.md,13803,aff6c93626e5ddf9d8893cc1a9f65a8414c3a0a4c072f690c7944e31fa5103c4,V0_9;V0_9_3;V0_9_34;V0_9_35;V0_9_37;V0_9_41;V0_9_42;V0_9_55;V0_9_57;V0_9_60
CONSOLIDATED_VERSION_HISTORY.md,9486,e944d6500ca8e9e38aed1db6a30e45c3714873473a943091f3d2bd2f96c5a6b4,V1_0_14;V1_0_15;V1_0_18;V1_0_24;V1_0_25;V1_0_26;V1_0_27;V1_0_28;V1_0_28_1;V1_0_28_2;V1_0_29;V1_0_30;V1_1_0_1;V1_1_1
DETAILED_ROADMAP_AND_TESTING_TIMELINE.md,12171,14f8e0049be0b6218b89bfbc484f10cb2a2494a779531961b25259b5a406a7ce,V0_9_15;V0_9_20;V0_9_32;V0_9_38;V0_9_42;V0_9_55;V0_9_56;V0_9_60
IOS_CORESPOTLIGHT_ROADMAP.md,18332,6817efdb6a07885046268251d0a25500e93445146ad32693872b91f193ae3d37,V0_8_59;V0_8_88_1;V0_9_1;V0_9_2;V0_9_3;V0_9_6;V0_9_10;V0_9_11;V0_9_11_1;V0_9_15;V0_9_17;V0_9_60
PATCH_SUMMARY_V0_5_0.md,1728,ba4a0d01e7907b3f0699c4cd1d9f3b8ebca1c272ffbd4eded27487300e56d86c,V0_5_0
PATCH_SUMMARY_V0_5_2.md,830,ac33f7279d30c949e9f969eb10495dfaab67dd96117d548aedf6ead60b727368,V0_5_1;V0_5_2
PATCH_SUMMARY_V0_5_3.md,1197,c665027d3311fe091c4a2b14bcf4b8830eeb3a5dfff1753a4520a8975ed70a94,V0_5_1;V0_5_2;V0_5_4
PATCH_SUMMARY_V0_5_4.md,1016,881d56c3e7060de4e38693819574816429c9d464207df12f27175657ace476a0,V0_5_3;V0_5_4
PATCH_SUMMARY_V0_5_5.md,1241,54ca0b02999157c996ea5cb84525e54d7823e9e723d81fb009c4eda75b2f9056,V0_5_5
PATCH_SUMMARY_V0_5_6.md,1606,86c5d18ce96a10eb2e03323aeb6b05c09f7df30fce06c886c8cb90dc83f680ad,V0_5_5;V0_5_6
PATCH_SUMMARY_V0_5_7.md,1067,dea898ba2fe43c5af9dd922c5dbfcee06f33da111afef8ed5030277156a5e545,V0_5_5;V0_5_6;V0_5_7
PATCH_SUMMARY_V0_5_9.md,1337,ae1cebf3a208cce0c1267c13ee531aae19d3be7b83059a6ca3095ea0f775d07f,V0_5_6;V0_5_8;V0_5_9
PATCH_SUMMARY_V0_6_0.md,1482,009a2f4e6e7c4dd0764c654988a0b3a06758807bdf5cb908ca60d2c7849d60ee,V0_6_0
PATCH_SUMMARY_V0_6_2.md,1182,dd00dc3a2662ea5c96cc5cde975f47dab15a2e30af516e732318e6b02dc7b0fa,V0_6;V0_6_1;V0_6_2
PATCH_SUMMARY_V0_6_3.md,1380,930fa3a5613e7059a4a58aa8c8bee262529a2209dd49469cd03ef9fc011ed31c,V0_6_3
PATCH_SUMMARY_V0_6_4.md,743,e2905ea8fb66a6a773af3f4ec5ba1ac053e59756eb6ff8fe71b314c079af0498,V0_6_3;V0_6_4
PATCH_SUMMARY_V0_6_5.md,406,133a93d3618e38fa6c4aa4c4f414c51bb6ce8a784b0bd1abde3e9d267a79edc4,V0_6_6_1
PATCH_SUMMARY_V0_6_5_1.md,759,2388f86e12185b317161d036a75f69b024492879005b2a433c2d6696b6610b38,V0_6_6
PATCH_SUMMARY_V0_6_6.md,626,541845dc5828fd36ff752346e240a4c3162adbbc1521ab3b3d859cac5a68bc34,V0_6_5_1;V0_6_7
PATCH_SUMMARY_V0_6_7.md,954,7bf7aa4e8386598a1ad8951e93f3c8ab72590c628f9c5bc00908fd18de054b69,V0_6_6;V0_6_7
PATCH_SUMMARY_V0_7_1.md,756,a1789b40403de4a9c11d9f5c763deafd9cb55c2b5d8022175671edae4b5dcba5,V0_7_0;V0_7_1
PATCH_SUMMARY_V0_7_10.md,1236,a2d59751537601a7b48a36b137387bc60daf4168a1b58cfb75bc4615521430c4,V0_7_10
PATCH_SUMMARY_V0_7_11.md,1110,da78c40972201d8722fe429e0f0c85d8e6b02e80e0c76793ac5533390d6c3999,V0_7_11
